Song,Concert,Year
drums,"The Palace Theater, Waterbury, CT (9/23/72)",1972
The Other One,"The Palace Theater, Waterbury, CT (9/23/72)",1972
Wharf Rat,"The Palace Theater, Waterbury, CT (9/23/72)",1972
Beat it on Down the Line,"The Palace Theater, Waterbury, CT (9/23/72)",1972
Ramble On Rose,"The Palace Theater, Waterbury, CT (9/23/72)",1972
Sugar Magnolia,"The Palace Theater, Waterbury, CT (9/23/72)",1972
Goin' Down the Road Feeling Bad,"The Palace Theater, Waterbury, CT (9/23/72)",1972
Not Fade Away,"The Palace Theater, Waterbury, CT (9/23/72)",1972
One More Saturday Night,"The Palace Theater, Waterbury, CT (9/23/72)",1972
Big Railroad Blues,"The Palace Theater, Waterbury, CT (9/24/72)",1972
Mexicali Blues,"The Palace Theater, Waterbury, CT (9/24/72)",1972
Loser,"The Palace Theater, Waterbury, CT (9/24/72)",1972
Black Throated Wind,"The Palace Theater, Waterbury, CT (9/24/72)",1972
Cumberland Blues,"The Palace Theater, Waterbury, CT (9/24/72)",1972
Sugaree,"The Palace Theater, Waterbury, CT (9/24/72)",1972
El Paso,"The Palace Theater, Waterbury, CT (9/24/72)",1972
Tennessee Jed,"The Palace Theater, Waterbury, CT (9/24/72)",1972
Beat it on Down the Line,"The Palace Theater, Waterbury, CT (9/24/72)",1972
Bird Song,"The Palace Theater, Waterbury, CT (9/24/72)",1972
Big River,"The Palace Theater, Waterbury, CT (9/24/72)",1972
Brown Eyed Women,"The Palace Theater, Waterbury, CT (9/24/72)",1972
Playing in the Band,"The Palace Theater, Waterbury, CT (9/24/72)",1972
Greatest Story Ever Told,"The Palace Theater, Waterbury, CT (9/24/72)",1972
Bertha,"The Palace Theater, Waterbury, CT (9/24/72)",1972
Promised Land,"The Palace Theater, Waterbury, CT (9/24/72)",1972
Friend of the Devil,"The Palace Theater, Waterbury, CT (9/24/72)",1972
Jack Straw,"The Palace Theater, Waterbury, CT (9/24/72)",1972
Tomorrow Is Forever,"The Palace Theater, Waterbury, CT (9/24/72)",1972
Me and My Uncle,"The Palace Theater, Waterbury, CT (9/24/72)",1972
Dark Star,"The Palace Theater, Waterbury, CT (9/24/72)",1972
drums,"The Palace Theater, Waterbury, CT (9/24/72)",1972
China Cat Sunflower,"The Palace Theater, Waterbury, CT (9/24/72)",1972
I Know You Rider,"The Palace Theater, Waterbury, CT (9/24/72)",1972
Sugar Magnolia,"The Palace Theater, Waterbury, CT (9/24/72)",1972
One More Saturday Night,"The Palace Theater, Waterbury, CT (9/24/72)",1972
Promised Land,"Stanley Theatre, Jersey City, NJ (9/26/72)",1972
Cold Rain and Snow,"Stanley Theatre, Jersey City, NJ (9/26/72)",1972
Me & M Uncle,"Stanley Theatre, Jersey City, NJ (9/26/72)",1972
He's Gone,"Stanley Theatre, Jersey City, NJ (9/26/72)",1972
Mexicali Blues,"Stanley Theatre, Jersey City, NJ (9/26/72)",1972
Deal,"Stanley Theatre, Jersey City, NJ (9/26/72)",1972
Big River,"Stanley Theatre, Jersey City, NJ (9/26/72)",1972
Cumberland Blues,"Stanley Theatre, Jersey City, NJ (9/26/72)",1972
Black Throated Wind,"Stanley Theatre, Jersey City, NJ (9/26/72)",1972
Bird Song,"Stanley Theatre, Jersey City, NJ (9/26/72)",1972
Sugaree,"Stanley Theatre, Jersey City, NJ (9/26/72)",1972
Around and Around,"Stanley Theatre, Jersey City, NJ (9/26/72)",1972
Playing in the Band,"Stanley Theatre, Jersey City, NJ (9/26/72)",1972
El Paso,"Stanley Theatre, Jersey City, NJ (9/26/72)",1972
Mississippi Half-Step,"Stanley Theatre, Jersey City, NJ (9/26/72)",1972
Greatest Story Ever Told,"Stanley Theatre, Jersey City, NJ (9/26/72)",1972
Tomorrow Is Forever,"Stanley Theatre, Jersey City, NJ (9/26/72)",1972
Truckin',"Stanley Theatre, Jersey City, NJ (9/26/72)",1972
The Other One,"Stanley Theatre, Jersey City, NJ (9/26/72)",1972
"It's All Over Now, Baby Blue","Stanley Theatre, Jersey City, NJ (9/26/72)",1972
Sugar Magnolia,"Stanley Theatre, Jersey City, NJ (9/26/72)",1972
26 Miles,"Stanley Theatre, Jersey City, NJ (9/26/72)",1972
Johnny B. Goode,"Stanley Theatre, Jersey City, NJ (9/26/72)",1972
Morning Dew,"Stanley Theatre, Jersey City, NJ (9/27/72)",1972
Beat it on Down the Line,"Stanley Theatre, Jersey City, NJ (9/27/72)",1972
Friend of the Devil,"Stanley Theatre, Jersey City, NJ (9/27/72)",1972
Black Throated Wind,"Stanley Theatre, Jersey City, NJ (9/27/72)",1972
Tennessee Jed,"Stanley Theatre, Jersey City, NJ (9/27/72)",1972
Mexicali Blues,"Stanley Theatre, Jersey City, NJ (9/27/72)",1972
Bird Song,"Stanley Theatre, Jersey City, NJ (9/27/72)",1972
Big River,"Stanley Theatre, Jersey City, NJ (9/27/72)",1972
Brokedown Palace,"Stanley Theatre, Jersey City, NJ (9/27/72)",1972
El Paso,"Stanley Theatre, Jersey City, NJ (9/27/72)",1972
China Cat Sunflower,"Stanley Theatre, Jersey City, NJ (9/27/72)",1972
I Know You Rider,"Stanley Theatre, Jersey City, NJ (9/27/72)",1972
Playing in the Band,"Stanley Theatre, Jersey City, NJ (9/27/72)",1972
He's Gone,"Stanley Theatre, Jersey City, NJ (9/27/72)",1972
Jack Straw,"Stanley Theatre, Jersey City, NJ (9/27/72)",1972
Deal,"Stanley Theatre, Jersey City, NJ (9/27/72)",1972
Greatest Story Ever Told,"Stanley Theatre, Jersey City, NJ (9/27/72)",1972
Ramble On Rose,"Stanley Theatre, Jersey City, NJ (9/27/72)",1972
Dark Star,"Stanley Theatre, Jersey City, NJ (9/27/72)",1972
Cumberland Blues,"Stanley Theatre, Jersey City, NJ (9/27/72)",1972
Attics of My Life,"Stanley Theatre, Jersey City, NJ (9/27/72)",1972
Promised Land,"Stanley Theatre, Jersey City, NJ (9/27/72)",1972
Uncle John's Band,"Stanley Theatre, Jersey City, NJ (9/27/72)",1972
Casey Jones,"Stanley Theatre, Jersey City, NJ (9/27/72)",1972
Around and Around,"Stanley Theatre, Jersey City, NJ (9/27/72)",1972
Truckin',"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
Loser,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
Beat it on Down the Line,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
Brown Eyed Women,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
Mexicali Blues,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
Mississippi Half-Step,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
Black Throated Wind,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
Don't Ease Me In,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
Big River,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
Tennessee Jed,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
Promised Land,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
China Cat Sunflower,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
I Know You Rider,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
Playing in the Band,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
Bertha,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
Greatest Story Ever Told,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
Brokedown Palace,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
Me and My Uncle,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
Ramble On Rose,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
El Paso,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
He's Gone,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
The Other One,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
Me and Bobby McGee,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
The Other One,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
Wharf Rat,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
Sugar Magnolia,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
Not Fade Away,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
Goin' Down the Road Feeling Bad,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
Not Fade Away,"Stanley Theatre, Jersey City, NJ (9/28/72)",1972
Deal,"American University, Washington, DC (9/30/72)",1972
Mexicali Blues,"American University, Washington, DC (9/30/72)",1972
Sugaree,"American University, Washington, DC (9/30/72)",1972
Black Throated Wind,"American University, Washington, DC (9/30/72)",1972
China Cat Sunflower,"American University, Washington, DC (9/30/72)",1972
I Know You Rider,"American University, Washington, DC (9/30/72)",1972
El Paso,"American University, Washington, DC (9/30/72)",1972
Bird Song,"American University, Washington, DC (9/30/72)",1972
Big River,"American University, Washington, DC (9/30/72)",1972
Loser,"American University, Washington, DC (9/30/72)",1972
Playing in the Band,"American University, Washington, DC (9/30/72)",1972
Casey Jones,"American University, Washington, DC (9/30/72)",1972
Greatest Story Ever Told,"American University, Washington, DC (9/30/72)",1972
He's Gone,"American University, Washington, DC (9/30/72)",1972
Me and My Uncle,"American University, Washington, DC (9/30/72)",1972
Brokedown Palace,"American University, Washington, DC (9/30/72)",1972
Truckin',"American University, Washington, DC (9/30/72)",1972
The Other One,"American University, Washington, DC (9/30/72)",1972
Sing Me Back Home,"American University, Washington, DC (9/30/72)",1972
Sugar Magnolia,"American University, Washington, DC (9/30/72)",1972
Mississippi Half-Step,"American University, Washington, DC (9/30/72)",1972
Uncle John's Band,"American University, Washington, DC (9/30/72)",1972
One More Saturday Night,"American University, Washington, DC (9/30/72)",1972
Cold Rain and Snow,"Civic Center Arena, Springfield, MA (10/2/72)",1972
Mexicali Blues,"Civic Center Arena, Springfield, MA (10/2/72)",1972
Tennessee Jed,"Civic Center Arena, Springfield, MA (10/2/72)",1972
Beat it on Down the Line,"Civic Center Arena, Springfield, MA (10/2/72)",1972
Bird Song,"Civic Center Arena, Springfield, MA (10/2/72)",1972
Black Throated Wind,"Civic Center Arena, Springfield, MA (10/2/72)",1972
Big Railroad Blues,"Civic Center Arena, Springfield, MA (10/2/72)",1972
El Paso,"Civic Center Arena, Springfield, MA (10/2/72)",1972
Brown Eyed Women,"Civic Center Arena, Springfield, MA (10/2/72)",1972
Cumberland Blues,"Civic Center Arena, Springfield, MA (10/2/72)",1972
Jack Straw,"Civic Center Arena, Springfield, MA (10/2/72)",1972
Don't Ease Me In,"Civic Center Arena, Springfield, MA (10/2/72)",1972
Playing in the Band,"Civic Center Arena, Springfield, MA (10/2/72)",1972
Casey Jones,"Civic Center Arena, Springfield, MA (10/2/72)",1972
Promised Land,"Civic Center Arena, Springfield, MA (10/2/72)",1972
He's Gone,"Civic Center Arena, Springfield, MA (10/2/72)",1972
Me and Bobby McGee,"Civic Center Arena, Springfield, MA (10/2/72)",1972
China Cat Sunflower,"Civic Center Arena, Springfield, MA (10/2/72)",1972
I Know You Rider,"Civic Center Arena, Springfield, MA (10/2/72)",1972
Tomorrow Is Forever,"Civic Center Arena, Springfield, MA (10/2/72)",1972
Greatest Story Ever Told,"Civic Center Arena, Springfield, MA (10/2/72)",1972
Mississippi Half-Step,"Civic Center Arena, Springfield, MA (10/2/72)",1972
Stella Blue,"Civic Center Arena, Springfield, MA (10/2/72)",1972
Truckin',"Civic Center Arena, Springfield, MA (10/2/72)",1972
Nobody's Jam,"Civic Center Arena, Springfield, MA (10/2/72)",1972
drums,"Civic Center Arena, Springfield, MA (10/2/72)",1972
Uncle John's Band's Jam,"Civic Center Arena, Springfield, MA (10/2/72)",1972
Morning Dew,"Civic Center Arena, Springfield, MA (10/2/72)",1972
Sugar Magnolia,"Civic Center Arena, Springfield, MA (10/2/72)",1972
Uncle John's Band,"Civic Center Arena, Springfield, MA (10/2/72)",1972
Johnny B. Goode,"Civic Center Arena, Springfield, MA (10/2/72)",1972
Promised Land,"Winterland Arena, San Francisco, CA (10/9/72)",1972
Deal,"Winterland Arena, San Francisco, CA (10/9/72)",1972
Beat it on Down the Line,"Winterland Arena, San Francisco, CA (10/9/72)",1972
Friend of the Devil,"Winterland Arena, San Francisco, CA (10/9/72)",1972
Me and My Uncle,"Winterland Arena, San Francisco, CA (10/9/72)",1972
Tennessee Jed,"Winterland Arena, San Francisco, CA (10/9/72)",1972
Black Throated Wind,"Winterland Arena, San Francisco, CA (10/9/72)",1972
Loser,"Winterland Arena, San Francisco, CA (10/9/72)",1972
El Paso,"Winterland Arena, San Francisco, CA (10/9/72)",1972
Box of Rain,"Winterland Arena, San Francisco, CA (10/9/72)",1972
China Cat Sunflower,"Winterland Arena, San Francisco, CA (10/9/72)",1972
I Know You Rider,"Winterland Arena, San Francisco, CA (10/9/72)",1972
Mexicali Blues,"Winterland Arena, San Francisco, CA (10/9/72)",1972
Sugaree,"Winterland Arena, San Francisco, CA (10/9/72)",1972
Playing in the Band,"Winterland Arena, San Francisco, CA (10/9/72)",1972
Jam,"Winterland Arena, San Francisco, CA (10/9/72)",1972
He's Gone,"Winterland Arena, San Francisco, CA (10/9/72)",1972
Big River,"Winterland Arena, San Francisco, CA (10/9/72)",1972
Mississippi Half-Step,"Winterland Arena, San Francisco, CA (10/9/72)",1972
Greatest Story Ever Told,"Winterland Arena, San Francisco, CA (10/9/72)",1972
Brokedown Palace,"Winterland Arena, San Francisco, CA (10/9/72)",1972
Truckin',"Winterland Arena, San Francisco, CA (10/9/72)",1972
The Other One,"Winterland Arena, San Francisco, CA (10/9/72)",1972
Wharf Rat,"Winterland Arena, San Francisco, CA (10/9/72)",1972
Sugar Magnolia,"Winterland Arena, San Francisco, CA (10/9/72)",1972
Casey Jones,"Winterland Arena, San Francisco, CA (10/9/72)",1972
Johnny B. Goode,"Winterland Arena, San Francisco, CA (10/9/72)",1972
Promised Land,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Bird Song,"Fox Theatre, St. Louis, MO (10/17/72)",1972
El Paso,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Sugaree,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Me & M Uncle,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Tennessee Jed,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Big River,"Fox Theatre, St. Louis, MO (10/17/72)",1972
China Cat Sunflower,"Fox Theatre, St. Louis, MO (10/17/72)",1972
I Know You Rider,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Black Throated Wind,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Deal,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Cumberland Blues,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Playing in the Band,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Casey Jones,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Greatest Story Ever Told,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Don't Ease Me In,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Mexicali Blues,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Black Peter,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Me and Bobby McGee,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Bertha,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Jack Straw,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Friend of the Devil,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Beat it on Down the Line,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Ramble On Rose,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Mississippi Half-Step,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Sugar Magnolia,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Not Fade Away,"Fox Theatre, St. Louis, MO (10/17/72)",1972
GDTFB,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Not Fade Away,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Uncle John's Band,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Johnny B. Goode,"Fox Theatre, St. Louis, MO (10/17/72)",1972
Bertha,"Fox Theatre, St. Louis, MO (10/18/72)",1972
Me and My Uncle,"Fox Theatre, St. Louis, MO (10/18/72)",1972
Don't Ease Me In,"Fox Theatre, St. Louis, MO (10/18/72)",1972
Mexicali Blues,"Fox Theatre, St. Louis, MO (10/18/72)",1972
"B.E,Women","Fox Theatre, St. Louis, MO (10/18/72)",1972
Beat it on Down the Line,"Fox Theatre, St. Louis, MO (10/18/72)",1972
Bird Song,"Fox Theatre, St. Louis, MO (10/18/72)",1972
Big River,"Fox Theatre, St. Louis, MO (10/18/72)",1972
Loser,"Fox Theatre, St. Louis, MO (10/18/72)",1972
Jack Straw,"Fox Theatre, St. Louis, MO (10/18/72)",1972
Big Railroad Blues,"Fox Theatre, St. Louis, MO (10/18/72)",1972
El Paso,"Fox Theatre, St. Louis, MO (10/18/72)",1972
China Cat Sunflower,"Fox Theatre, St. Louis, MO (10/18/72)",1972
I Know You Rider,"Fox Theatre, St. Louis, MO (10/18/72)",1972
Playing in the Band,"Fox Theatre, St. Louis, MO (10/18/72)",1972
drums,"Fox Theatre, St. Louis, MO (10/18/72)",1972
Dark Star,"Fox Theatre, St. Louis, MO (10/18/72)",1972
Momin Dew,"Fox Theatre, St. Louis, MO (10/18/72)",1972
Playing in the Band,"Fox Theatre, St. Louis, MO (10/18/72)",1972
Friend of the Devil,"Fox Theatre, St. Louis, MO (10/18/72)",1972
Promised Land,"Fox Theatre, St. Louis, MO (10/18/72)",1972
Brokedown Palace,"Fox Theatre, St. Louis, MO (10/18/72)",1972
Saturday Nigh,"Fox Theatre, St. Louis, MO (10/18/72)",1972
Casey Jones,"Fox Theatre, St. Louis, MO (10/18/72)",1972
Promised Land,"Fox Theatre, St. Louis, MO (10/19/72)",1972
Tennessee Jed,"Fox Theatre, St. Louis, MO (10/19/72)",1972
Jack Straw,"Fox Theatre, St. Louis, MO (10/19/72)",1972
Don't Ease Me In,"Fox Theatre, St. Louis, MO (10/19/72)",1972
Black Throated Wind,"Fox Theatre, St. Louis, MO (10/19/72)",1972
Sugaree,"Fox Theatre, St. Louis, MO (10/19/72)",1972
Mexicali Blues,"Fox Theatre, St. Louis, MO (10/19/72)",1972
Bertha,"Fox Theatre, St. Louis, MO (10/19/72)",1972
El Paso,"Fox Theatre, St. Louis, MO (10/19/72)",1972
China Cat Sunflower,"Fox Theatre, St. Louis, MO (10/19/72)",1972
I Know You Rider,"Fox Theatre, St. Louis, MO (10/19/72)",1972
Beat it on Down the Line,"Fox Theatre, St. Louis, MO (10/19/72)",1972
Dire Wolf,"Fox Theatre, St. Louis, MO (10/19/72)",1972
Around and Around,"Fox Theatre, St. Louis, MO (10/19/72)",1972
Casey Jones,"Fox Theatre, St. Louis, MO (10/19/72)",1972
Big River,"Fox Theatre, St. Louis, MO (10/19/72)",1972
Friend of the Devil,"Fox Theatre, St. Louis, MO (10/19/72)",1972
Me and My Uncle,"Fox Theatre, St. Louis, MO (10/19/72)",1972
Bird Song,"Fox Theatre, St. Louis, MO (10/19/72)",1972
Truckin',"Fox Theatre, St. Louis, MO (10/19/72)",1972
drums,"Fox Theatre, St. Louis, MO (10/19/72)",1972
The Other One,"Fox Theatre, St. Louis, MO (10/19/72)",1972
He's Gone,"Fox Theatre, St. Louis, MO (10/19/72)",1972
The Other One,"Fox Theatre, St. Louis, MO (10/19/72)",1972
Greatest Story Ever Told,"Fox Theatre, St. Louis, MO (10/19/72)",1972
Comes A Time,"Fox Theatre, St. Louis, MO (10/19/72)",1972
Not Fade Away,"Fox Theatre, St. Louis, MO (10/19/72)",1972
Goin' Down the Road Feeling Bad,"Fox Theatre, St. Louis, MO (10/19/72)",1972
Not Fade Away,"Fox Theatre, St. Louis, MO (10/19/72)",1972
Bertha,"Vanderbilt University, Nashville, TN (10/21/72)",1972
Me and My Uncle,"Vanderbilt University, Nashville, TN (10/21/72)",1972
Deal,"Vanderbilt University, Nashville, TN (10/21/72)",1972
Beat it on Down the Line,"Vanderbilt University, Nashville, TN (10/21/72)",1972
Sugaree,"Vanderbilt University, Nashville, TN (10/21/72)",1972
El Paso,"Vanderbilt University, Nashville, TN (10/21/72)",1972
China Cat Sunflower,"Vanderbilt University, Nashville, TN (10/21/72)",1972
I Know You Rider,"Vanderbilt University, Nashville, TN (10/21/72)",1972
Black Throated Wind,"Vanderbilt University, Nashville, TN (10/21/72)",1972
Tennessee Jed,"Vanderbilt University, Nashville, TN (10/21/72)",1972
Jack Straw,"Vanderbilt University, Nashville, TN (10/21/72)",1972
Loser,"Vanderbilt University, Nashville, TN (10/21/72)",1972
Playing in the Band,"Vanderbilt University, Nashville, TN (10/21/72)",1972
Promised Land,"Vanderbilt University, Nashville, TN (10/21/72)",1972
Brown Eyed Women,"Vanderbilt University, Nashville, TN (10/21/72)",1972
Big River,"Vanderbilt University, Nashville, TN (10/21/72)",1972
He's Gone,"Vanderbilt University, Nashville, TN (10/21/72)",1972
Greatest Story Ever Told,"Vanderbilt University, Nashville, TN (10/21/72)",1972
Bird Song,"Vanderbilt University, Nashville, TN (10/21/72)",1972
Truckin',"Vanderbilt University, Nashville, TN (10/21/72)",1972
The Other One,"Vanderbilt University, Nashville, TN (10/21/72)",1972
Morning Dew,"Vanderbilt University, Nashville, TN (10/21/72)",1972
Sugar Magnolia,"Vanderbilt University, Nashville, TN (10/21/72)",1972
Johnny B. Goode,"Vanderbilt University, Nashville, TN (10/21/72)",1972
[set list unknown],"Performing Arts Center, Milwaukee, WI (10/23/72)",1972
[set list unknown],"Music Mall, Cincinnati, OH (10/26/72)",1972
Bertha,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
Mexicali Blues,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
Loser,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
Jack Straw,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
Big Railroad Blues,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
El Paso,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
Sugaree,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
Beat it on Down the Line,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
Brown Eyed Women,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
Box of Rain,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
Black Throated Wind,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
Tennessee Jed,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
Me and Bobby McGee,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
Bird Song,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
Big River,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
Casey Jones,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
Greatest Story Ever Told,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
Ramble On Rose,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
TrucKin,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
The Other One,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
Mississippi Half-Step,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
Morning Dew,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
Tomorrow Is Forever,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
Promised Land,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
Deal,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
Sugar Magnolia,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
Uncle John's Band,"Veterans Memorial Auditorium, Columbus, OH (10/27/72)",1972
El Paso,"Public Hall, Cleveland, OH (10/28/72)",1972
Casey Jones,"Public Hall, Cleveland, OH (10/28/72)",1972
Dark Star,"Public Hall, Cleveland, OH (10/28/72)",1972
Johnny B. Goode,"Public Hall, Cleveland, OH (10/28/72)",1972
Promised Land,"Ford Auditorium, Detroit, MI (10/30/72)",1972
Truckin',"Ford Auditorium, Detroit, MI (10/30/72)",1972
Around and Around,"Ford Auditorium, Detroit, MI (10/30/72)",1972
[set list unknown],"Memorial Hall, Kansas City, MO (11/12/72)",1972
Cold Rain and Snow,"Memorial Hall, Kansas City, MO (11/13/72)",1972
Beat it on Down the Line,"Memorial Hall, Kansas City, MO (11/13/72)",1972
Jack Straw,"Memorial Hall, Kansas City, MO (11/13/72)",1972
China Cat Sunflower,"Memorial Hall, Kansas City, MO (11/13/72)",1972
I Know You Rider,"Memorial Hall, Kansas City, MO (11/13/72)",1972
Box of Rain,"Memorial Hall, Kansas City, MO (11/13/72)",1972
Black Throated Wind,"Memorial Hall, Kansas City, MO (11/13/72)",1972
Candyman,"Memorial Hall, Kansas City, MO (11/13/72)",1972
El Paso,"Memorial Hall, Kansas City, MO (11/13/72)",1972
Tomorrow Is Forever,"Memorial Hall, Kansas City, MO (11/13/72)",1972
Around and Around,"Memorial Hall, Kansas City, MO (11/13/72)",1972
Brown Eyed Women,"Memorial Hall, Kansas City, MO (11/13/72)",1972
Playing in the Band,"Memorial Hall, Kansas City, MO (11/13/72)",1972
Promised Land,"Memorial Hall, Kansas City, MO (11/13/72)",1972
Ramble On Rose,"Memorial Hall, Kansas City, MO (11/13/72)",1972
Me and Bobby McGee,"Memorial Hall, Kansas City, MO (11/13/72)",1972
Dark Star,"Memorial Hall, Kansas City, MO (11/13/72)",1972
Morning Dew,"Memorial Hall, Kansas City, MO (11/13/72)",1972
Sugar Magnolia,"Memorial Hall, Kansas City, MO (11/13/72)",1972
He's Gone,"Oklahoma City Music Hall, Oklahoma City, OK (11/14/72)",1972
Truckin',"Oklahoma City Music Hall, Oklahoma City, OK (11/14/72)",1972
The Other One,"Oklahoma City Music Hall, Oklahoma City, OK (11/14/72)",1972
Sing Me Back Home,"Oklahoma City Music Hall, Oklahoma City, OK (11/14/72)",1972
Sugar Magnolia,"Oklahoma City Music Hall, Oklahoma City, OK (11/14/72)",1972
Candyman,"Oklahoma City Music Hall, Oklahoma City, OK (11/15/72)",1972
China Cat Sunflower,"Oklahoma City Music Hall, Oklahoma City, OK (11/15/72)",1972
I Know You Rider,"Oklahoma City Music Hall, Oklahoma City, OK (11/15/72)",1972
Not Fade Away,"Oklahoma City Music Hall, Oklahoma City, OK (11/15/72)",1972
Goin' Down the Road Feeling Bad,"Oklahoma City Music Hall, Oklahoma City, OK (11/15/72)",1972
Not Fade Away,"Oklahoma City Music Hall, Oklahoma City, OK (11/15/72)",1972
Beat it on Down the Line,"Wichita, KS (11/17/72)",1972
Brown Eyed Women,"Wichita, KS (11/17/72)",1972
Big River,"Wichita, KS (11/17/72)",1972
China Cat Sunflower,"Wichita, KS (11/17/72)",1972
I Know You Rider,"Wichita, KS (11/17/72)",1972
Around and Around,"Wichita, KS (11/17/72)",1972
Casey Jones,"Wichita, KS (11/17/72)",1972
Cumberland Blues,"Wichita, KS (11/17/72)",1972
El Paso,"Wichita, KS (11/17/72)",1972
Uncle John's Band,"Wichita, KS (11/17/72)",1972
He's Gone,"Wichita, KS (11/17/72)",1972
Truckin',"Wichita, KS (11/17/72)",1972
The Other One,"Wichita, KS (11/17/72)",1972
Brokedown Palace,"Wichita, KS (11/17/72)",1972
Sugar Magnolia,"Wichita, KS (11/17/72)",1972
Uncle John's Band,"Wichita, KS (11/17/72)",1972
Johnny B. Goode,"Wichita, KS (11/17/72)",1972
Promised Land,"Hofheinz Pavilion, Houston, TX (11/18/72)",1972
Sugaree,"Hofheinz Pavilion, Houston, TX (11/18/72)",1972
Mexicali Blues,"Hofheinz Pavilion, Houston, TX (11/18/72)",1972
